Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,497.13","1,149.75","1,919.40"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years Lived with Disability (YLDs),Rate,"1,030.78",713.44,"1,426.89"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years of Life Lost (YLLs),Rate,466.35,436.31,492.5
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Deaths,Rate,6.43,5.7,6.92
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,705.38,525.81,919.85
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,528.7,362.86,732.56
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,176.68,162.95,187.29
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Deaths,Rate,12.43,10.64,13.58
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,120.47",831.23,"1,459.86"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years Lived with Disability (YLDs),Rate,846.48,583.87,"1,166.87"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years of Life Lost (YLLs),Rate,273.99,247.36,292.99
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Deaths,Rate,76.31,59.28,95.54
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"2,674.78","1,937.47","3,562.60"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years Lived with Disability (YLDs),Rate,"1,000.04",648.87,"1,439.15"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years of Life Lost (YLLs),Rate,"1,674.74","1,288.60","2,123.46"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Deaths,Rate,74.45,57.75,93.38
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Disability-Adjusted Life Years (DALYs),Rate,"2,782.33","2,011.44","3,712.19"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years Lived with Disability (YLDs),Rate,"1,060.97",688.28,"1,527.68"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years of Life Lost (YLLs),Rate,"1,721.35","1,323.17","2,184.51"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Deaths,Rate,76.77,58.65,97.92
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"2,724.12","1,954.10","3,664.18"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,979.62,636.01,"1,413.08"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,"1,744.50","1,318.10","2,251.10"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Deaths,Rate,66.76,50.79,85.48
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Disability-Adjusted Life Years (DALYs),Rate,"2,656.14","1,898.46","3,584.51"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years Lived with Disability (YLDs),Rate,986.38,639.58,"1,425.65"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years of Life Lost (YLLs),Rate,"1,669.77","1,258.88","2,158.87"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Deaths,Rate,75.32,59.34,92.85
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"2,627.95","1,919.07","3,470.86"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,"1,020.11",661.53,"1,464.98"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,"1,607.83","1,257.54","2,005.88"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Deaths,Rate,82.21,64.75,101.38
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Disability-Adjusted Life Years (DALYs),Rate,"2,908.90","2,124.45","3,840.65"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years Lived with Disability (YLDs),Rate,"1,134.38",736.21,"1,628.07"
NLC,Non-Latin Caribbean,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years of Life Lost (YLLs),Rate,"1,774.52","1,388.24","2,212.58"
